"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","32.04656844911318","30.651755860483167","0.01025390625","0.01953125","0.0009765625","1560","0.0014497777236122473","24","0.0014497777236122473","0","0.0014497777236122473","0.0014497777236122473","1:0.007203996788991723","1:68","1:0.007426106827106982","0.01025390625","Yes"
"1","214.46144753922047","277.4092588369999","0.0234375","0.025634765625","0.021240234375","1560","0.0001808293627387109","24","0.0001808293627387109","0","0.0001808293627387109","0.0001808293627387109","2:0.0018141429263188735;0:0.007203996788991723","2:68;0:68","2:0.0016890384137539516;0:0.007426106827106982","0.0234375","Yes"
"2","179.83463032942467","133.79115926413874","0.00390625","0.002685546875","0.005126953125","1560","0.00014776022219949481","24","0.00014776022219949481","0","0.00014776022219949481","0.00014776022219949481","1:0.0018141429263188735;3:0.0018387032998628816","1:68;3:68","1:0.0016890384137539516;3:0.0015536811069946366","0.00390625","Yes"
"3","203.68306101821702","145.74454304010763","0.0186767578125","0.01708984375","0.020263671875","1560","0.0002706849818149355","24","0.0002706849818149355","0","0.0002706849818149355","0.0002706849818149355","16:0.0015560332666292032;2:0.0018387032998628816;4:0.0019023633666338524","16:68;2:68;4:68","16:0.001761742108419312;2:0.0015536811069946366;4:0.0022579238399637602","0.0186767578125","Yes"
"4","154.67912654946272","117.00371103789557","0.0037841796875","0.0068359375","0.000732421875","1560","0.00031149402495762564","24","0.00031149402495762564","0","0.00031149402495762564","0.00031149402495762564","3:0.0019023633666338524;5:0.003208573400724668","3:68;5:68","3:0.0022579238399637602;5:0.0028372387126057164","0.0037841796875","Yes"
"5","162.1941377123369","136.81602649071965","0.0078125","0.010986328125","0.004638671875","1560","0.00026512794647079647","24","0.00026512794647079647","0","0.00026512794647079647","0.00026512794647079647","6:0.003239535474909433;4:0.003208573400724668","6:68;4:68","6:0.002840135158639151;4:0.0028372387126057164","0.0078125","Yes"
"6","252.26380496214162","134.78767454626183","0.007568359375","0.007568359375","0.007568359375","1560","0.00030454222061884756","24","0.00030454222061884756","0","0.00030454222061884756","0.00030454222061884756","5:0.003239535474909433;7:0.0032679086335329344","5:68;7:68","5:0.002840135158639151;7:0.0035066251017546457","0.007568359375","Yes"
"7","58.99559752417459","34.66999492157906","0.02001953125","0.0302734375","0.009765625","1560","0.0006432084536391677","24","0.0006432084536391677","0","0.0006432084536391677","0.0006432084536391677","17:0.003538108107420279;6:0.0032679086335329344;8:0.004071062662785119","17:68;6:68;8:68","17:0.004060290923745047;6:0.0035066251017546457;8:0.004833233795664665","0.02001953125","Yes"
"8","142.11260717037223","43.80003245218032","0.006591796875","0.009765625","0.00341796875","1560","0.00034938858655669434","24","0.00034938858655669434","0","0.00034938858655669434","0.00034938858655669434","9:0.0025556220020613585;7:0.004071062662785119","9:68;7:68","9:0.0021609962473683464;7:0.004833233795664665","0.006591796875","Yes"
"9","238.6668655715958","33.281887840760156","0.0166015625","0.014404296875","0.018798828125","1560","0.0001889599020246496","24","0.0001889599020246496","0","0.0001889599020246496","0.0001889599020246496","8:0.0025556220020613585;10:0.0018451755923580004","8:68;10:68","8:0.0021609962473683464;10:0.0015310429787871171","0.0166015625","Yes"
